"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"A","Agilent Technologies, Inc.","Healthcare","Diagnostics & Research","USA",40833.41,31.12,138.03,-0.04%,1158389
2,"AAL","American Airlines Group Inc.","Industrials","Airlines","USA",9067.55,127.36,14.01,0.86%,14041168
3,"AAP","Advance Auto Parts, Inc.","Consumer Cyclical","Specialty Retail","USA",7125.54,14.60,120.69,0.40%,1029565
4,"AAPL","Apple Inc.","Technology","Consumer Electronics","USA",2591002.55,27.97,164.66,0.55%,45337673
5,"ABBV","AbbVie Inc.","Healthcare","Drug Manufacturers - General","USA",283673.73,24.37,161.55,0.47%,5498027
6,"ABC","AmerisourceBergen Corporation","Healthcare","Medical Distribution","USA",33850.56,20.20,166.35,-0.60%,857766
7,"ABT","Abbott Laboratories","Healthcare","Medical Devices","USA",181111.28,26.73,104.93,0.69%,5065004
8,"ACGL","Arch Capital Group Ltd.","Financial","Insurance - Diversified","Bermuda",25551.23,18.10,68.94,0.51%,1979161
9,"ACN","Accenture plc","Technology","Information Technology Services","Ireland",186409.35,25.93,281.70,0.13%,2125316
10,"ADBE","Adobe Inc.","Technology","Software - Infrastructure","USA",175232.05,37.53,380.60,-0.37%,1835767
11,"ADI","Analog Devices, Inc.","Technology","Semiconductors","USA",96298.96,28.26,187.17,-1.68%,3008992
12,"ADM","Archer-Daniels-Midland Company","Consumer Defensive","Farm Products","USA",43392.83,10.22,78.74,-0.84%,2413897
13,"ADP","Automatic Data Processing, Inc.","Industrials","Staffing & Employment Services","USA",88326.32,28.71,216.11,1.38%,1966560
14,"ADSK","Autodesk, Inc.","Technology","Software - Application","USA",42430.07,52.26,197.34,-0.11%,1174474
15,"AEE","Ameren Corporation","Utilities","Utilities - Regulated Electric","USA",23430.81,21.76,90.07,0.90%,1543764
16,"AEP","American Electric Power Company, Inc.","Utilities","Utilities - Regulated Electric","USA",48580.83,21.08,94.89,0.37%,2991524
17,"AES","The AES Corporation","Utilities","Utilities - Diversified","USA",16123.52,,24.40,1.24%,4738909
18,"AFL","Aflac Incorporated","Financial","Insurance - Life","USA",39430.66,9.84,64.56,0.16%,2355670
19,"AIG","American International Group, Inc.","Financial","Insurance - Diversified","USA",36859.33,4.00,51.08,1.67%,3438365
20,"AIZ","Assurant, Inc.","Financial","Insurance - Specialty","USA",6285.69,23.46,118.33,-0.37%,420111
